case	run	result	reason	exit_code	duration_sec	bytes	log_file
K46	1	PASS	OK	0	117	1459	.cwf/runtime-residual-smoke/260220-175930/K46-run1.log
S10	1	PASS	WAIT_INPUT	0	116	747	.cwf/runtime-residual-smoke/260220-175930/S10-run1.log
S10	2	FAIL	NO_OUTPUT	0	131	1	.cwf/runtime-residual-smoke/260220-175930/S10-run2.log
S10	3	PASS	WAIT_INPUT	0	72	1160	.cwf/runtime-residual-smoke/260220-175930/S10-run3.log
S10	4	PASS	WAIT_INPUT	0	71	1126	.cwf/runtime-residual-smoke/260220-175930/S10-run4.log
S10	5	FAIL	NO_OUTPUT	0	120	1	.cwf/runtime-residual-smoke/260220-175930/S10-run5.log
