case	run	result	reason	exit_code	duration_sec	bytes	log_file
K46	1	PASS	OK	0	106	889	.cwf/runtime-residual-smoke/260220-172429/K46-run1.log
S10	1	PASS	WAIT_INPUT	0	29	1236	.cwf/runtime-residual-smoke/260220-172429/S10-run1.log
S10	2	PASS	OK	0	47	115	.cwf/runtime-residual-smoke/260220-172429/S10-run2.log
S10	3	PASS	WAIT_INPUT	0	44	425	.cwf/runtime-residual-smoke/260220-172429/S10-run3.log
S10	4	PASS	WAIT_INPUT	0	43	916	.cwf/runtime-residual-smoke/260220-172429/S10-run4.log
S10	5	PASS	WAIT_INPUT	0	43	308	.cwf/runtime-residual-smoke/260220-172429/S10-run5.log
